LabNo,CollectionSquare,HouseholdUnits,Residential Zone,Period,Vesselsform,Group,Ba,Zr,Sr,Rb,Zn,Ni,Fe,Mn,Ti,Ca,K
DLH564,1056B,D110,D,Hongshan,Indeterminate,G3,1324.34,332.1,255.65,93.61,36.58,107.88,35132.07,405.46,3840.83,4821.19,18406.21
DLH565,1050B,D110,D,Hongshan,Indeterminate,G3,1118.73,308.23,283.38,95.71,34.25,113.62,31454.5,857.28,2740.72,6400.94,18550.58
DLH566,1058A,D110,D,Hongshan,Guan,G3,858.71,341.11,156.97,71.32,50.88,98.16,45669.16,505.9,4120.37,4928.39,14331.73
DLH567,1061B,D110,D,Hongshan,Indeterminate,G3,780.8,357.46,156.13,68.9,54.42,88.62,49683.29,527.32,4206.98,4331.56,15278.13
DLH568,1061B,D110,D,Hongshan,Indeterminate,G3,1017.95,305.95,267.91,51.5,51.52,112.46,46334.31,948.13,3696.47,7566.58,10895.81
DLH570,1058B,D110,D,Hongshan,Indeterminate,G2,867.65,350.21,145.01,77.97,63.82,126.85,57752,1321.45,3837.8,5882.29,12840.16
DLH571,1061A,D110,D,Hongshan,Indeterminate,G2,868.72,344.72,171.34,88.46,63.89,101.42,45805.63,807.55,3560.02,4821.18,13940.05
DLH572,1064A,D110,D,Hongshan,Indeterminate,G2,936.07,334.74,129.36,103.31,75.72,128.35,47083.52,818.53,3409.69,5233.21,14040.86
DLH573,1060A,D110,D,Hongshan,Indeterminate,G2,1040.08,357.33,181.74,87.83,53.33,103.16,39461.19,739.43,3252.86,6679.1,13437.22
DLH574,1060A,D110,D,Hongshan,Indeterminate,G2,1040.08,357.33,181.74,87.83,53.33,103.16,39461.19,739.43,3252.86,6679.1,13437.22
DLH575,1058A,D110,D,Hongshan,Indeterminate,G2,920.3,352.28,146.3,83.96,62.95,124.31,38144.92,720.82,3634.85,5356.94,14318.31
DLH576,1058A,D110,D,Hongshan,Indeterminate,G2,920.3,352.28,146.3,83.96,62.95,124.31,38144.92,720.82,3634.85,5356.94,14318.31
DLH577,1058A,D110,D,Hongshan,Indeterminate,G2,933.97,345.87,145.79,107.78,71.46,91.41,45000.27,962.33,3163.13,5853.19,14385.97
DLH578,1063B,D110,D,Hongshan,Indeterminate,G2,867.94,378.55,161.7,95.05,57.45,92.94,39172.33,743.02,3274.15,6720.51,12789.24
DLH579,1063B,D110,D,Hongshan,Indeterminate,G2,866.5,349.6,129.11,103.74,74.32,103.44,46547.15,923.72,3224.92,4357.52,13097.5
DLH580,1068A,D110,D,Hongshan,Indeterminate,G2,1022.26,347.07,199.84,70.24,52.31,93.24,38332.54,1344.95,3609.64,5864.83,15259.26
DLH581,1068A,D110,D,Hongshan,Indeterminate,G2,755.18,360.68,120.92,110.29,69.04,88.38,43663.98,538.15,3710.16,5008.97,15681.34
DLH582,1058B,D110,D,Hongshan,Indeterminate,G2,1066.24,321.2,137.81,103.15,72.21,108.73,44976.38,818.49,3430.82,5487.27,13536.75
DLH583,1066B,D110,D,Hongshan,Indeterminate,G2,860.97,366.34,170.4,87.11,50.86,92,40147.96,642.94,2725.64,6278.64,12437.56
DLH584,1066B,D110,D,Hongshan,Indeterminate,G2,1126.24,319.96,146.86,76.67,56.39,114.28,43415.31,898.79,3626.73,5632.78,14581.89
DLH585,1066B,D110,D,Hongshan,Bo,G2,915.96,289.99,151.44,101.2,80.1,93.24,46434.18,1112.44,2667.2,5232.12,13903.73
DLH586,1050B,D110,D,Hongshan,Indeterminate,G2,909.89,354.16,139.31,97.72,68.71,93.2,49117.73,742.63,2883.44,4074.29,11584.93
DLH587,1050B,D110,D,Hongshan,Guan,G2,1022.43,359.67,164.37,80.25,49.43,104.79,38932.02,669.28,2840.34,5225.16,11959.54
DLH588,1068B,D110,D,Hongshan,Indeterminate,G2,1018.35,355.3,167.65,95.98,56.24,100.3,39430.51,666.57,2939.24,5830.11,14178.73
DLH589,1068B,D110,D,Hongshan,Indeterminate,G2,997.55,351.73,176.95,84.16,51.5,85.81,40899.83,1012.71,3303.84,6557.03,13417.32
DLH590,1068B,D110,D,Hongshan,Indeterminate,G2,1132.27,365.99,181.62,88.49,57.11,90.07,40247.45,1027.93,3495.49,5543.27,15456.94
DLH591,1060A,D110,D,Hongshan,Indeterminate,G2,975.62,373.18,165.48,96.43,56.62,81.84,39914.6,881.27,2840.49,5915.62,13236.14
DLH592,1055B,D110,D,Hongshan,Indeterminate,G2,870.6,341.5,143.84,78.64,73.82,95.67,49616.46,646.4,4415.84,4858.74,14736.36
DLH593,1061B,D110,D,Hongshan,Bo,G2,597.69,366.11,151.21,67.19,28.06,63.91,49844.82,384.86,5524.93,4565.93,16538.66
DLH594,1055A,D110,D,Hongshan,Bo,G2,799.42,411.18,157.44,71.86,55.69,93.5,47233.4,638.62,2968.69,3786.01,11093.71
DLH595,1106B,D116,D,Hongshan,Indeterminate,G3,910.65,313.8,175.67,86.57,33.41,74.48,36452.48,1013.93,3491.79,4872.88,18325.25
DLH596,1106B,D116,D,Hongshan,Indeterminate,G3,1060.4,311.21,131.2,84.31,42.86,110.71,39185.8,614.53,2644.7,4748.92,13337.89
DLH597,1099B,D116,D,Hongshan,Indeterminate,G3,813.7,379.81,151.07,89.34,43.69,71.59,38092.47,458.56,2689.04,4686.71,13450.99
DLH598,1107B,D116,D,Hongshan,Indeterminate,G3,839.86,187.49,117.73,54.7,98.58,192.58,117974.16,2175.48,5126.63,7404.8,12363.86
DLH601,1106B,D116,D,Hongshan,Indeterminate,G2,823.83,354.07,150.41,92.47,64.19,90.03,39801.29,768.73,3927.96,4791.66,15834.74
DLH602,1100A,D116,D,Hongshan,Bo,G2,971.36,356.76,141.03,78.62,72.7,117.06,49439.41,692.41,4373.58,4562.41,15323.71
DLH603,1108A,D116,D,Hongshan,Indeterminate,G2,886.1,363.79,173.71,96.32,53.5,95.5,39187.44,712.88,3305.86,6096.17,15138.58
DLH604,1108A,D116,D,Hongshan,Indeterminate,G2,858.16,348.9,131.73,92.14,59.69,119.29,49935.61,724.44,3396.58,5030.28,13198.96
DLH605,1097A,D116,D,Hongshan,Bo,G2,728.79,397.74,141.57,98.21,63.06,72.33,40602.7,749.11,3881.01,5134.14,15519.58
DLH606,1094B,D116,D,Hongshan,Indeterminate,G2,941.21,357.78,147.89,100.81,75.44,122.08,48319.09,1046.57,3676.83,5911.66,14956.17
DLH607,1107B,D116,D,Hongshan,Indeterminate,G2,997.41,358.88,156.37,75.51,46.88,107.62,42650.07,586.95,3774.18,5741.33,14277.54
DLH608,1096B,D116,D,Hongshan,Indeterminate,G2,954.27,352.34,181.39,103.15,66.87,112.51,41346.46,840.83,2666.16,6099.33,13379.5
DLH609,1099B,D116,D,Hongshan,Indeterminate,G2,1094.46,335.79,147.51,85.87,58.11,141.35,46791.34,656.47,3415.86,5351,13709.1
DLH610,1095A,D116,D,Hongshan,Bo,G2,872.27,405.89,138.5,96.54,65.17,107.86,42527.86,857.56,3714.67,5225.22,13693.52
DLH611,1101A,D116,D,Hongshan,Indeterminate,G2,1042.57,356.75,158.51,104.99,61.55,116.75,36618.23,807.44,3102.81,15085.6,15234.43
DLH612,1101A,D116,D,Hongshan,Indeterminate,G2,1008.05,361.41,161.73,69.28,48.53,139.24,49795.37,1451.89,4150.65,6190.77,13196.3
DLH613,1103B,D116,D,Hongshan,Indeterminate,G2,777.41,380.75,138.1,75.25,66.92,104.79,47797.3,773.45,3094.13,5580.79,11434.73
DLH614,1103B,D116,D,Hongshan,Guan,G2,857.62,389.45,145.77,93.02,72.66,110.6,46429.41,713.8,2961.51,5240.41,12171.54
DLH615,1103B,D116,D,Hongshan,Indeterminate,G2,964.07,365.72,148.87,97.17,74.18,101.14,44803.95,935.31,3207.32,5896.39,12558.03
DLH616,1102B,D116,D,Hongshan,Indeterminate,G2,1127.24,350.02,164.75,94.4,57.38,106.83,47672.41,1003.59,3605.12,5411.1,13602.07
DLH617,1102B,D116,D,Hongshan,Indeterminate,G2,1070.12,353.99,147.12,91.76,54.99,120.49,46533.92,868.83,3584.99,5574.89,13907.28
DLH618,1102B,D116,D,Hongshan,Indeterminate,G2,970.77,352.02,151.44,65.96,52.14,68.74,45206.63,621.17,3932.39,4893.7,12706.5
DLH619,1108B,D116,D,Hongshan,Indeterminate,G2,979.71,330.17,157.92,67.12,58.78,86.25,45042.07,689.97,3153.43,6468.47,11340.76
DLH620,1108B,D116,D,Hongshan,Indeterminate,G2,1174.82,339.93,167.62,91.65,60.05,120,46423.21,1001.01,2941.86,5570.25,12925.92
DLH621,1108B,D116,D,Hongshan,Indeterminate,G2,819.27,354.39,182.63,73.42,53.66,49.2,39076.68,540.01,3201.58,6470.51,12043.26
DLH622,1108B,D116,D,Hongshan,Indeterminate,G2,995.01,353.62,174.7,84.19,52.04,91.07,41064.05,623.8,2246.97,6416.21,11077.56
DLH623,1100B,D116,D,Hongshan,Indeterminate,G2,728.82,358.23,173.94,86.69,53.26,76.59,38806.28,575.71,3056.01,6654.8,13242.06
DLH624,1100B,D116,D,Hongshan,Indeterminate,G2,563.75,352.45,127.81,73.56,70.03,61.33,51664.77,612.06,2925.45,4304.29,10506.84
DLH625,1103B,D116,D,Hongshan,Indeterminate,G3,1257.02,312.32,221.3,90.5,52.01,105.84,37478.45,926.83,3773.32,6732.32,18045.44
DLH626,1103B,D116,D,Hongshan,Indeterminate,G3,1266.39,282.51,249.73,70.76,49.01,108.61,40775.19,649.61,3536.66,7359.67,15341.78
DLH627,0057B,S023,S,Hongshan,Indeterminate,G3,1231.78,334.61,252.17,89.25,59.17,130.59,43157.29,937.51,4051.63,5735.14,17147.54
DLH628,0058B,S023,S,Hongshan,Indeterminate,G3,1054.25,322,155.03,81.07,51.95,105.17,41839.57,706.08,3711.11,5015.98,16386.3
DLH629,0060B,S023,S,Hongshan,Indeterminate,G2,921.4,384.22,153.85,65.52,63.61,113.66,45639.3,957.92,4003.25,6166.93,14386.92
DLH630,0060B,S023,S,Hongshan,Indeterminate,G2,1006.64,337.78,165.16,80.42,63.61,131.32,44657.84,1544.42,3615.54,6280.43,15201.1
DLH641,0059A,S023,S,Hongshan,Indeterminate,G2,1121.91,386.49,176.65,83.48,54.43,108.83,44490.13,996.39,2991.23,6984.27,13988.18
DLH642,0055A,S023,S,Hongshan,Indeterminate,G2,940.1,369.75,161.29,96.52,77.59,96.85,52464.43,1069.54,3220.31,6145.33,13926.04
DLH643,0055A,S023,S,Hongshan,Indeterminate,G2,840.8,369,163.21,91.59,82.69,109.45,53596.16,1263.23,2387.36,3973.17,9423.89
DLH644,0056A,S023,S,Hongshan,Indeterminate,G2,948.56,388.14,164.64,71.24,58.32,98.82,45747.88,826.22,3809.1,7459.89,14234.2
DLH645,0055A,S023,S,Hongshan,Indeterminate,G2,875.99,369.73,138.12,87.15,85.09,117.22,52088.83,1251.16,4001.39,5580.62,11719.25
DLH646,0061A,S023,S,Hongshan,Indeterminate,G2,782.18,339.34,141.31,111.6,79.52,99.04,50445.84,970.53,2808.26,5676.91,13183.85
DLH647,0059B,S023,S,Hongshan,Indeterminate,G2,1005.91,340.17,160.98,98.67,62.6,99.34,46802.98,779.22,4033.63,6775.24,15948.17
DLH648,0058A,S023,S,Hongshan,Indeterminate,G2,875.91,387.7,184.78,59.65,63.05,101.47,44586.5,876.48,4021.2,6584.49,12346.46
DLH649,0062B,S023,S,Hongshan,Indeterminate,G2,1031.54,360.21,168.11,79.13,60.56,136.28,47747.11,1996.7,3491.28,6935.69,14959.76
DLH650,0062B,S023,S,Hongshan,Indeterminate,G2,1195.96,368.05,130.97,90.02,66.59,126.14,43871.84,1212.97,3516.56,5222.57,12676.48
DLH651,0062B,S023,S,Hongshan,Indeterminate,G2,1195.96,368.05,130.97,90.02,66.59,126.14,43871.84,1212.97,3516.56,5222.57,12676.48
DLH652,0055B,S023,S,Hongshan,Indeterminate,G2,1108.97,386.98,173.49,90.72,71.2,118.37,51600.89,928.08,4174.27,6746.09,13676.83
DLH653,0058B,S023,S,Hongshan,Indeterminate,G2,1072.72,334.73,173.55,84.73,71.39,113.89,45967.49,1135.12,3390.34,6746.4,13654.41
DLH654,0063B,S023,S,Hongshan,Indeterminate,G2,1078.5,395.09,168.97,88.32,56.81,117.82,46517.96,1013.93,2928.62,6408.72,13765.6
DLH655,0063B,S023,S,Hongshan,Indeterminate,G2,1060.35,350.59,179.43,80.35,57.82,117.05,45261.83,1318.88,3539.04,6580.49,12845.97
DLH656,0063B,S023,S,Hongshan,Indeterminate,G2,883.56,368.7,152.28,91.92,65.88,89.29,40398.57,849.73,3619.36,6659.23,13918.81
DLH657,0063B,S023,S,Hongshan,Indeterminate,G2,862.91,346.75,135.87,76.22,87.98,115.75,50276.1,1206.92,3857.05,5767.41,12537.34
DLH658,0063B,S023,S,Hongshan,Indeterminate,G2,992.04,340.39,147.32,76.66,67.92,100.08,50147.63,712.17,3458.11,5759.07,12104.83
DLH659,0063B,S023,S,Hongshan,Indeterminate,G2,1003,331.93,155.82,90.37,77.91,119.59,46437.59,932.67,3184.55,6532.8,14039.96
DLH660,0061B,S023,S,Hongshan,Indeterminate,G2,864.38,377.13,142.63,81.59,74.69,108.72,47189.73,698.03,3491.82,4951.94,11206.55
DLH661,0061B,S023,S,Hongshan,Indeterminate,G2,1029.62,381.15,168.48,87.38,81.75,131.88,51207.61,1101.57,4335.04,6642.96,14052.72
DLH662,0061B,S023,S,Hongshan,Indeterminate,G2,1009.69,385.25,135.59,86.32,72.05,121.72,44094.32,1024.46,4143.87,5717.88,15269.81
DLH663,0061B,S023,S,Hongshan,Indeterminate,G2,987.96,341.35,154.46,76.13,80.31,124.05,48174.72,1655.72,4458.77,5752.09,15661.47
DLH673,0031B,S017,S,Hongshan,Indeterminate,G2,1117.06,337.78,173.38,94.87,63.56,99.15,41375.13,938.15,3507.47,6845.14,14331.87
DLH674,0032B,S017,S,Hongshan,Indeterminate,G2,1149.61,347.5,174.92,88.76,69.57,121.06,46998.55,1065.63,4069.55,6862.83,15070.66
DLH675,0032B,S017,S,Hongshan,Indeterminate,G2,1091.95,356.31,158.58,82.61,58.58,150.99,48703.95,1583.57,4321.94,5815.71,16156.82
DLH676,0033B,S017,S,Hongshan,Indeterminate,G2,1183.9,413.96,167.78,108.48,62.43,144.59,48438.12,1221.17,4364.07,6536.58,17173.87
DLH677,0033B,S017,S,Hongshan,Indeterminate,G2,968.05,362.13,173.11,78.46,67.46,128.35,49527.8,1388.14,4485.59,6563.86,15542.94
DLH678,0033B,S017,S,Hongshan,Indeterminate,G2,1054.54,357.84,155.31,86.89,59.9,144.56,56956.8,965.06,5145.1,4811.46,15135.98
DLH679,0033B,S017,S,Hongshan,Indeterminate,G2,1023.01,358.11,155.72,84.15,79.51,134.19,50828.3,1073.6,3126.36,5656.43,11796.39
DLH680,0033B,S017,S,Hongshan,Indeterminate,G2,944.54,333.5,140.43,87.51,80.66,133.75,45925.51,747.36,3750.48,5613.39,14167.58
DLH681,0033B,S017,S,Hongshan,Indeterminate,G2,988.49,324.34,154.21,79.85,58.24,161.53,45291.24,2276.66,3319.63,5589.5,14391.22
DLH682,0034A,S017,S,Hongshan,Indeterminate,G2,1158.43,399.39,172.13,94.19,61.41,147.19,49397.42,2120.71,4188.04,5661.85,17137.38
DLH683,0034A,S017,S,Hongshan,Indeterminate,G2,1088.7,360.52,167.71,84.15,80.1,131.86,49908.31,1173.33,3799.99,6554.22,13781.28
DLH684,0034A,S017,S,Hongshan,Indeterminate,G2,1088.7,360.52,167.71,84.15,80.1,131.86,49908.31,1173.33,3799.99,6554.22,13781.28
DLH685,0032A,S017,S,Hongshan,Indeterminate,G2,916.84,350.18,144.76,92.19,77.72,91.43,49159.16,1345.55,3052.59,5538.45,10347.54
DLH686,0032A,S017,S,Hongshan,Indeterminate,G2,1048.62,359.95,161.81,107.52,68.55,129.42,45632.5,1159.03,3468.97,7123.41,12097.38
DLH687,0033A,S017,S,Hongshan,Indeterminate,G2,988.05,380.61,165.87,76.09,74.98,146.18,53671.66,796.56,3617.81,5885.13,12165.09
DLH688,0033A,S017,S,Hongshan,Indeterminate,G2,1058.47,382.27,172.05,90.68,89.41,152.37,42653.79,3024.03,2463.19,6812.71,12264.96
DLH689,0031A,S017,S,Hongshan,Indeterminate,G2,1037.99,346.35,150.86,103.3,71.94,111.57,48048.93,986.98,4205.38,5734.03,16100.14
DLH690,0031A,S017,S,Hongshan,Indeterminate,G2,1003.34,297.25,146.16,75.01,71.92,128.67,38245.7,1365.73,3763.31,6362.3,14897.15
DLH691,0031A,S017,S,Hongshan,Indeterminate,G2,883.48,309.3,159.34,90.5,67.78,82.97,38927.05,912.93,3317.43,7083,13427.67
DLH692,0031A,S017,S,Hongshan,Indeterminate,G2,1074.33,301.77,154.12,77.6,63.34,111.9,32633.92,941.84,3577.47,6113.97,15042.38
DLH693,0031B,S017,S,Hongshan,Indeterminate,G2,1022.26,414.04,166.86,83.59,60.59,218.51,46632.35,1256.08,4395.56,6752.88,16236.39
DLH694,0034B,S017,S,Hongshan,Indeterminate,G2,889.38,337.53,159.32,65.81,53.73,112.04,39334.11,758.8,4189.18,5851.68,14267.87
DLH695,0034B,S017,S,Hongshan,Indeterminate,G2,1039.48,274.13,139.29,65.69,78.41,118.01,38371.44,1041.22,4251.32,6859.66,10022.75
DLH696,0034B,S017,S,Hongshan,Indeterminate,G2,930.76,209,128.68,58.4,73.2,111.3,26055.8,1079.76,4593.73,5741.35,15954.82
DLH697,0034B,S017,S,Hongshan,Indeterminate,G2,942.57,146.83,108.44,31.54,88.01,296.9,18660.81,794.34,3928.76,5905.49,14262.51
DLH698,0034B,S017,S,Hongshan,Indeterminate,G2,866.33,124.36,95.64,23.03,76.76,170.4,11542.02,780.83,2880.93,6856.55,10180.1
DLH699,1142B,D109,D,Hongshan,Guan,G2,1303.28,142.81,162.78,40.69,61.59,196.88,26120.72,942.06,2965.47,10534.38,9335.54
DLH700,1142B,D109,D,Hongshan,Guan,G2,1250.97,129.5,118.54,43.33,53.96,111.38,16472.14,667.75,2340.88,6930.58,13879.22
DLH701,1142A,D109,D,Hongshan,Guan,G2,1314.84,261.91,145.72,62.25,58.26,167.11,36118.41,1075.59,3534.04,6477.77,11978.9
DLH702,1142A,D109,D,Hongshan,Bo,G2,921.56,140.53,115.66,32.21,55.91,143.64,14176.99,720.11,4066.68,5254.21,14828.62
DLH703,1182A,D109,D,Hongshan,Guan,G2,864.37,232.25,124.26,50.2,75.05,110.64,22758.9,781.92,3390.3,6035.63,13140.59
DLH704,1082B,D112,D,Hongshan,Guan,G2,1374.23,322.31,170.04,80.44,48.63,119.74,39365.18,927.1,3884.81,6214.69,16428.14
DLH705,1082B,D112,D,Hongshan,Bo,G2,1274.26,291.96,140.51,72.77,65.13,116.32,38879.24,638.96,3757.79,5453.06,13348.74
DLH706,1083B,D112,D,Hongshan,Bo,G2,723.25,314.44,145.78,82.48,73.63,58.55,32701.41,471.8,4313.74,5377.7,16614.58
DLH707,1084B,D112,D,Hongshan,Bo,G2,143.98,231.13,161.68,58.33,38.69,121.96,24713.96,372.65,2202.39,32684.67,8856.85
DLH708,1083A,D112,D,Hongshan,Bo,G2,864.64,199.06,106.74,38.2,82.47,92.9,21586.06,507.52,4373.39,5394.11,11596.45
DLH709,0216A,S002,S,Hongshan,Guan,G2,966.79,186.37,103.07,44.89,90.25,118.19,22269.29,804.85,2984.02,5651.73,12841.73
DLH710,0016B,S016,S,Hongshan,Bo,G2,874.67,209.07,108.8,44.47,96.14,89.56,24054.97,827.53,4417.57,6429.87,17108.83
DLH711,0054B,S016,S,Hongshan,Guan,G2,875.35,139.83,99.5,27.87,75.85,112.53,18008.07,842.59,3887.26,5015.74,12798.8
DLH712,0034A,S016,S,Hongshan,Guan,G2,1295.72,323.49,165.24,96.84,58.92,153.57,45568.35,1258.3,3140.41,6058.66,12825.24
DLH713,0033B,S017,S,Hongshan,Bo,G2,1187.13,345.75,166.96,71.94,59.62,102.16,39786.12,1100.96,3569.76,7192.81,13952.87
DLH714,1068B,D110,D,Hongshan,Bo,G2,757.86,242.45,155.7,44.3,73.42,71.63,31567.38,598.86,4177.95,8125.2,12050.9
DLH715,1060B,D110,D,Hongshan,Bo,G2,516.24,231.55,152.59,70.84,64.4,96.6,28857.22,534.61,2560.56,14573.86,7938.75
DLH384,2029A,E201,E,Hongshan,Tongxingqi,G1,905.05,340.78,169.82,76.51,47.02,114.8,42646.34,598.53,3728.44,8128.98,13283.69
DLH385,2029A,E201,E,Hongshan,Tongxingqi,G1,817.56,325.15,161.27,61.66,59.92,95.74,41046.11,841.09,3726.37,7391.41,12701.87
DLH386,2029A,E201,E,Hongshan,Tongxingqi,G1,898.1,373.14,170.49,76.3,74.16,105.86,46180.77,759.61,3745.72,6373.6,12221.85
DLH387,2030B,E201,E,Hongshan,Tongxingqi,G1,949.35,331.7,169.14,83.34,66.74,87.69,41996.72,561.32,3186.9,7853.63,11250.7
DLH388,2030B,E201,E,Hongshan,Tongxingqi,G1,853.94,370.19,155.24,73.55,80,104.88,49142.26,733.19,3630.47,5944.88,12009.86
DLH389,2030B,E201,E,Hongshan,Tongxingqi,G1,709.04,370.03,171.39,74.03,78.01,93.42,49019.05,672.43,4112.78,6914.85,12524.45
DLH390,2030B,E201,E,Hongshan,Tongxingqi,G1,993.98,344.69,174.68,88.18,61.89,170.13,41897.41,706.8,2786.86,7706.36,12405.84
DLH391,2031B,E201,E,Hongshan,Tongxingqi,G1,1150.88,347.25,190.45,92.9,60.62,128.87,38274.38,726.6,3604.31,7578.22,14946.38
DLH392,2031B,E201,E,Hongshan,Tongxingqi,G1,941.23,348.54,174.12,95.24,67.16,110.63,42849.83,803.11,3546.6,8551.6,14356.28
DLH393,2030A,E201,E,Hongshan,Tongxingqi,G1,851.57,369.26,170.94,81.47,73.47,84.06,44950.03,744.84,3217.03,7185.78,12217.32
DLH420,2027B,E203,E,Hongshan,Tongxingqi,G1,918.15,346.41,157.19,92,74.73,99.76,42404.07,1021.2,3626.72,7369.05,15190.02
DLH421,2027B,E203,E,Hongshan,Tongxingqi,G1,854.44,352.55,155.93,93.12,73.38,120.92,41908.45,905.42,3542.76,7252.73,15022.51
DLH422,2025B,E203,E,Hongshan,Tongxingqi,G1,985.31,277.06,143.33,75.99,57.18,115.47,43316.77,863.07,3066.39,7671.57,11666.58
DLH423,2024B,E203,E,Hongshan,Tongxingqi,G1,911.99,340.41,168.97,79.78,58.04,114.98,41667.54,559.29,4047.35,7894.05,14702.32
DLH424,2028B,E203,E,Hongshan,Tongxingqi,G1,901.15,348.4,161.95,85.78,64.02,102.73,45739.74,572.15,3943.85,6197.81,14458.17
DLH425,2021A,E203,E,Hongshan,Tongxingqi,G1,909.56,365.32,146.48,92.5,79.65,103.91,47429.94,776.12,4185.84,6417.41,15700.51
DLH426,2021A,E203,E,Hongshan,Tongxingqi,G1,701.15,355.09,153.6,62.24,51.35,102.82,42723.96,375.98,3757.66,6521.15,12450.06
DLH427,2020A,E203,E,Hongshan,Tongxingqi,G1,1013.2,327.99,172.16,89.04,57.06,99.68,39665.96,540.26,3200.42,7548.97,14008.29
DLH428,2020B,E203,E,Hongshan,Tongxingqi,G1,997.68,319.47,168.52,104.55,65.3,107.21,39483.18,849.42,3495.04,6189.55,14990.38
DLH429,2019A,E203,E,Hongshan,Tongxingqi,G1,996.85,307.59,154.7,90.84,79.96,107.85,35310.73,849.36,3955.77,6506.73,15558.11
DLH470,2055B,E207,E,Hongshan,Tongxingqi,G1,1194.47,332.45,179.99,96.85,64.25,113.29,38686.29,804.4,3565.58,9422.27,15293.65
DLH471,2054A,E207,E,Hongshan,Tongxingqi,G1,720.66,352.16,149.02,47.69,78.12,78.28,48536.65,697.06,3412.89,6255.19,10281.11
DLH472,2058B,E207,E,Hongshan,Tongxingqi,G1,1032.95,309.77,163.65,73.46,60.49,103.55,39476.27,696.29,3245.11,7003.6,11672.51
DLH515,2003B,E208,E,Hongshan,Tongxingqi,G1,891.9,344.14,157.85,101.46,69.96,99.13,41869.65,784.57,3584.32,7412.3,15188.63
DLH516,2006B,E208,E,Hongshan,Tongxingqi,G1,1141.38,344.84,200.96,74.16,62.78,111.52,38349,693.82,3190.15,9722.1,12765.19
DLH517,2008A,E208,E,Hongshan,Tongxingqi,G1,802.76,344.49,161.52,70.76,56.8,99.86,42168.36,780.15,3384.31,6704.43,12839.47
DLH569,1056B,D110,D,Hongshan,Tongxingqi,G1,1048.67,359.84,163.16,93.79,63.16,111.09,40173.72,975.2,3530.86,5508.45,13449.53
DLH599,1100A,D116,D,Hongshan,Tongxingqi,G1,975.03,380.13,141.45,96.84,60.74,112.53,41054.5,650.57,3521.83,5625.11,14153.8
DLH600,1100A,D116,D,Hongshan,Tongxingqi,G1,1218.07,344.8,174.9,99.65,58.87,94.89,37565.1,768.64,2878.14,6947.6,14153.66
DLH631,0060A,S023,S,Hongshan,Tongxingqi,G1,1048.79,339.09,163.99,104.2,71.11,91.17,48260.21,1082.61,3810.69,6353.36,16348.35
DLH632,0061B,S023,S,Hongshan,Tongxingqi,G1,1091.19,357.96,147.16,100.19,75.28,141.58,50967.1,1329.42,4233.85,6430.1,15293.71
DLH633,0055B,S023,S,Hongshan,Tongxingqi,G1,913.6,334.98,127.92,76.69,59.93,111.91,47934.64,1073.25,3098.37,4849.8,11437.29
DLH634,0062B,S023,S,Hongshan,Tongxingqi,G1,1019.58,342.7,148.06,108.74,68.73,149.09,48222.55,983.25,1809.13,3141.32,8108.22
DLH635,0062B,S023,S,Hongshan,Tongxingqi,G1,1116.41,387.66,190.79,70.14,54.46,127.11,46740.12,974.6,2475.04,7624.35,10602.52
DLH636,0058A,S023,S,Hongshan,Tongxingqi,G1,1113.77,352.69,176.52,84.51,77.96,121.82,48958.48,1505.38,2128.1,6657.58,8176.49
DLH637,0058A,S023,S,Hongshan,Tongxingqi,G1,902.68,386.05,142,89.95,64.3,108.63,39896.17,916.17,3498.41,5929.46,14326.25
DLH638,0056A,S023,S,Hongshan,Tongxingqi,G1,1400.03,313.37,219.74,92.14,60.99,96.55,41225.84,1027.71,3249.36,9730.14,14596.05
DLH639,0055A,S023,S,Hongshan,Tongxingqi,G1,1015.3,338.89,169.05,81.16,64.62,134.54,48381.16,1379.23,3921.62,6911.61,15054.72
DLH640,0059A,S023,S,Hongshan,Tongxingqi,G1,968.38,351.29,159.08,92.39,64.53,118.29,49366.16,1086.36,2834.88,6619.15,12161.75
DLH664,0032B,S017,S,Hongshan,Tongxingqi,G1,936.59,343.52,152.76,108.53,71.71,110.34,45502.53,1252.91,3702.97,6237.16,16166.15
DLH665,0032B,S017,S,Hongshan,Tongxingqi,G1,1039.52,398.92,170.92,70.03,78.24,122.03,51333.96,1259.89,3888.32,5927.15,12073.81
DLH666,0032B,S017,S,Hongshan,Tongxingqi,G1,1046.06,374.77,151.21,98.06,56.73,100.46,47662.41,1038.38,3682.83,5768.64,14790.41
DLH667,0033B,S017,S,Hongshan,Tongxingqi,G1,1119.87,345.99,163.54,108.49,62.87,128.94,45299,1796.54,3531.03,7674.75,14779.46
DLH668,0033B,S017,S,Hongshan,Tongxingqi,G1,933.67,337.21,147.37,96.19,71.67,88.57,43219.25,713.16,3113.74,5347.33,14007.74
DLH669,0033A,S017,S,Hongshan,Tongxingqi,G1,1142.71,350.25,146.31,116.58,75.57,119.99,48640.3,1021.15,3013.57,4553.29,13744.45
DLH670,0033A,S017,S,Hongshan,Tongxingqi,G1,1223.48,356.31,171.99,82.07,60.12,136.09,44979.06,1337.97,3409.63,6469.86,14751.08
DLH671,0034A,S017,S,Hongshan,Tongxingqi,G1,1179.7,342.7,170.63,89.64,57.76,137.8,43812.04,997.66,3387.05,6531.9,14210.85
