CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Gallienus (joint reign) 339,,Antoninianus,Silver,Mediolanum," Head or Bust of Gallienus, radiate, left, sometimes seen from behind, sometimes with spear and shield or sceptre | Bust of Gallienus, radiate, draped, right, sometimes holding sceptre",Gallienus,,"Stork, right",258
RIC V Gallienus (joint reign) 337,,Antoninianus,Silver,Mediolanum,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Centaur, running left, holding club",258
RIC V Gallienus (joint reign) 336,,Antoninianus,Silver,Mediolanum," Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Centaur, right, holding club",258
RIC V Gallienus (joint reign) 326,,Antoninianus,Silver,Mediolanum,"Head of Gallienus, radiate, left",Gallienus,Italy,"Pegasus, right",259
RIC V Gallienus (joint reign) 322,Minerva|Victory,Antoninianus,Silver,Mediolanum," Head of Gallienus, radiate, left | Bust of Gallienus, radiate, cuirassed, right | Bust of Gallienus, radiate, draped, right",Gallienus,Italy,"Minerva, helmeted, draped, standing left, holding Victory in right hand and spear and shield in left hand",258
RIC V Gallienus (joint reign) 306,,Antoninianus,Silver,Mediolanum,"Head of Gallienus, radiate, right or left",Gallienus,Italy,"Gallienus togate, sacrificing at altar out of patera in right hand and holding short sceptre in left hand",259
RIC V Gallienus (joint reign) 303,Sol,Aureus,Gold,Mediolanum,"Head of Gallienus, radiate, right",Gallienus,Italy,"Sol, radiate, standing left, raising right hand and holding globe in left hand",258
RIC V Gallienus (joint reign) 296,,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Gallienus, walking right, raising right hand and holding globe in left hand",255|256
RIC V Gallienus (joint reign) 293,Laetitia,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Laetitia, draped, standing left, holding wreath in right hand and anchor in left hand",254|255
RIC V Gallienus (joint reign) 289,Saturn,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Saturn, standing right, holding sceptre in right hand",255|256
RIC V Gallienus (joint reign) 288,Aequitas,Antoninianus,Silver,Viminacium,"Bust of Gallienus, radiate, draped, right",Gallienus,Moesia,"Aequitas, draped, standing left, holding scales in right hand and cornucopiae in left hand",253|254
RIC V Gallienus (joint reign) 280,Victory,As,Bronze,Rome,"Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Victory, winged, draped, standing, resting right hand on shield and holding palm in left hand",256|257
RIC V Gallienus (joint reign) 270,Liberalitas,As,Bronze,Rome," Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Liberalitas, draped, standing left, holding tessera in right hand and cornucopiae in left hand",253
RIC V Gallienus (joint reign) 267,Fides,As,Bronze,Rome,"Bust of Gallienus, laureate, cuirassed, right",Gallienus,Italy,"Fides, draped, standing left, holding ensign in each hand",258
RIC V Gallienus (joint reign) 251,Apollo,Dupondius,Bronze,Rome,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Apollo, nude, standing left, holding laurel-branch in right hand and lyre set on rock in left hand",254|255
RIC V Gallienus 226,Laetitia,Antoninianus,Silver,Rome," Head of Gallienus, radiate, right | Bust of Gallienus, radiate, draped, cuirassed, right | Head of Gallienus, radiate, left | Bust of Gallienus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle | Bust of Gallienus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand | Bust of Gallienus, radiate, cuirassed, right",Gallienus,Italy,"Laetitia, draped, standing left, holding wreath in right hand and anchor in left hand",260|268
RIC V Gallienus (joint reign) 71,Concordia,Aureus,Gold,Rome,"Bust of Gallienus, laureate, draped, cuirassed, right",Gallienus,Italy,"Concordia, draped, standing left, holding patera in right hand and cornucopiae in left hand",254
RIC V Mariniana 11,,Dupondius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Peacock, looking or walking right, with tail spread",256
RIC V Mariniana 10,,Sestertius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, walking right, with tail spread",255
RIC V Mariniana 9,,Sestertius,Bronze,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, looking right, with tail spread",256
RIC V Mariniana 8,,Quinarius,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Mariniana, draped, seated on peacock flying left to heaven",253
RIC V Mariniana 7,Felicitas,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",254
RIC V Mariniana 6,,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Mariniana, draped, seated on peacock flying right or left to heaven",254
RIC V Mariniana 5,,Antoninianus,Silver,Rome,"Bust of Mariniana, diademed, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, walking right, with tail spread",255
RIC V Mariniana 4,,Antoninianus,Silver,Rome,"Bust of Mariniana, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, looking right, with tail spread",257
RIC V Mariniana 3,,Antoninianus,Silver,Rome,"Bust of Mariniana, veiled, draped, on crescent, right",Egnatia Mariniana,Italy,"Peacock, looking left, with tail spread",256|257
RIC V Mariniana 2,,Aureus,Gold,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Mariniana, draped, seated on peacock flying right to heaven",256
RIC V Mariniana 1,,Aureus,Gold,Rome,"Bust of Mariniana, diademed, veiled, draped, right",Egnatia Mariniana,Italy,"Peacock, looking left, with tail spread",256
RIC V Gallienus (joint reign) 21,Jupiter|Victory,Antoninianus,Silver,Lugdunum,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Gallia,"Jupiter, holding Victory in right hand and spear in left hand, standing on cippus inscribed IMP C E S",258
RIC V Gallienus (joint reign) 12,,Antoninianus,Silver,Lugdunum,"Bust of Gallienus, radiate, cuirassed, right",Gallienus,Gallia,Eagle on globe between two ensigns,256
RIC V Valerian 194,Jupiter,As,Bronze,Rome,"Bust of Valerian, laureate, draped, right",Valerian,Italy,"Jupiter, nude, standing left, holding thunderbolt in right hand and sceptre in left hand",254
RIC V Valerian 192,Felicitas,As,Bronze,Rome,"Bust of Valerian, laureate, draped, right",Valerian,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",254
RIC V Valerian 181,Victory,Sestertius,Bronze,Rome,"Bust of Valerian, laureate, draped, right",Valerian,Italy,"Victory, winged, draped, standing left, holding wreath in right hand and palm in left hand; sometimes at her feet, captive",256|257
RIC V Valerian 153,Apollo,Sestertius,Bronze,Rome," Bust of Valerian, laureate, draped, right",Valerian,Italy,"Apollo, nude except for cloak flying behind, standing right, drawing bow",253
RIC V Valerian 134,,Antoninianus,Silver,Rome,"Bust of Valerian, radiate, draped, right",Valerian,Italy,"Soldier, helmeted, in military attire, standing left, resting on shield and holding a spear in left hand",257|258
RIC V Valerian 88,Felicitas,Antoninianus,Silver,Rome,"Bust of Valerian, radiate, draped, right",Valerian,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",255
RIC V Valerian 86,Felicitas,Antoninianus,Silver,Rome,"Bust of Valerian, radiate, draped, right",Valerian,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",254
RIC V Probus 537,Sol,Antoninianus,Silver,Ticinum,"Bust of Probus, radiate, cuirassed, right",Probus,Gallia,"Hexastyle temple, Sol standing in centre, raising right hand",276|282
RIC V Probus 526,Securitas,Antoninianus,Silver,Ticinum,"Bust of Probus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand",Probus,Gallia,"Securitas, draped, standing left, legs crossed, leaning on column, raising right hand to head",276|282
RIC V Valerian 65,Roma,,Silver,Rome,"Head of Valerian, laureate, right",Valerian,Italy,"Bust of Roma, helmeted, right",255
RIC V Valerian 57,,,Silver,Rome,"Bust of Valerian, laureate, draped, cuirassed, right",Valerian,Italy,"Valerian, in military attire, with praetorian prefect, standing right on platform, addressing four soldiers with three ensigns",255
RIC V Probus 465,Concordia,Antoninianus,Silver,Ticinum,"Bust of Probus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle in right hand",Probus,Gallia,"Concordia, draped, standing left, holding ensign in each hand",276|282
RIC V Probus 416,Sol,Antoninianus,Silver,Ticinum,"Bust of Probus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand or bust of Probus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle in right hand or bust of Probus, radiate, cuirassed, left, sometimes seen from behind, holding spear in right hand or spear in right hand and shield in left hand",Probus,Gallia,"Hexastyle temple, Sol standing in centre, raising right hand",276|282
RIC V Probus 379,Hercules,Antoninianus,Silver,Ticinum,"Bust of Probus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle in right hand",Probus,Gallia,"Hercules, standing left, holding olive-branch in right hand and club and lion-skin in left hand",276|282
RIC V Saloninus 19,,Aureus,Gold,Rome,"Bust of Saloninus, head bare, draped, right",Saloninus,Italy,"Saloninus, standing left, holding ensign and sceptre",256
RIC V Probus 372,Victory|Fides,Antoninianus,Silver,Ticinum,"Bust of Probus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand or bust of Probus, radiate, cuirassed, left, holding spear in right or left or bust of Probus, radiate, cuirassed to waist, right, holding Victory set on globe",Probus,Gallia,"Fides, draped, standing left, holding ensign in each hand",276|282
RIC V Probus 361,Felicitas,Antoninianus,Silver,Ticinum,"Bust of Probus, helmeted, radiate, cuirassed, left, sometimes seen from behind, holding spear in right hand and shield in left hand or bust of Probus, radiate, cuirassed, left, holding spear or spear in right hand and shield in left hand",Probus,Gallia,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",276|282
RIC V Valerian II 30,,Quinarius,Silver,Rome,"Bust of Valerian II, head bare, draped, right",Valerian II,Italy,"Valerian II, standing left, holding ensign in right hand and sceptre in left hand",254|255
RIC V Probus 317,Securitas,Antoninianus,Silver,Ticinum,"Bust of Probus, radiate, draped, right or bust of Probus, radiate, draped, cuirassed, right",Probus,Gallia,"Securitas, draped, standing left, leaning on column, holding globe in right hand and sceptre in left hand",276|282
RIC V Probus 306,Roma|Victory,Aureus,Gold,Ticinum,"Bust of Probus, laureate, draped, right",Probus,Gallia,"Roma, helmeted, draped, seated left on shield, holding Victory in right hand and sceptre in left hand",276|282
RIC V Probus 278,,Quinarius,Silver,Rome,"Bust of Probus, laureate, draped, right or bust of Probus, laureate, draped, cuirassed, right",Probus,Italy,Trophy between two captives,276|282
RIC V Probus 262,Four Seasons,Quinarius,Silver,Rome,"Bust of Probus, laureate left, wearing imperial mantle, holding sceptre surmounted by eagle",Probus,Italy,"Four seasons as children, draped",276|282
RIC V Salonina 56,Venus,Aureus,Gold,Mediolanum,"Bust of Salonina, diademed, draped, right",Cornelia Salonina,Italy,"Venus, draped, standing left, holding apple in right hand and sceptre in left hand",257|258
RIC V Salonina 27,Felicitas,Antoninianus,Silver,Rome,"Bust of Salonina, diademed, draped, on crescent, right",Cornelia Salonina,Italy,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",256|257
RIC V Probus 207,Sol,Antoninianus,Silver,Rome,"Bust of Probus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle in right hand",Probus,Italy,"Sol, radiate, in spread quadriga riding left, raising right hand and holding globe in right hand and whip in left hand",276|282
RIC V Salonina 5,,Antoninianus,Silver,Lugdunum,"Bust of Salonina, diademed, draped, on crescent, right",Cornelia Salonina,Gallia,Goddess in temple,258
RIC V Probus 171,Roma,Antoninianus,Silver,Rome,"Bust of Probus, radiate, cuirassed, right",Probus,Italy,"Roma, helmeted, draped, standing",276|282
RIC V Probus 152,Jupiter,Antoninianus,Silver,Rome,"Bust of Probus, radiate, cuirassed, right",Probus,Italy,"Jupiter, standing front, head right, holding sceptre in right hand and thunderbolt in left hand",276|282
RIC V Probus 141,,Aureus,Gold,Rome,"Bust of Probus, laureate, cuirassed, left",Probus,Italy,Trophy between two captives,276|282
RIC V Probus 97,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Probus, radiate, cuirassed, right",Probus,Gallia,"Providentia, draped, standing left, holding globe in right hand and cornucopiae in left hand",276|282
RIC V Probus 42,Mars,Antoninianus,Silver,Lugdunum,"Bust of Probus, radiate, cuirassed, right",Probus,Gallia,"Mars, helmeted, in military attire, standing left, holding olive-branch in right hand and spear in left hand, leaning on shield",276|282
RIC V Severina 5,Laetitia,Denarius,Silver,Rome,"Bust of Severina, diademed, draped, right",Ulpia Severina,Italy,"Laetitia, draped, standing left, holding wreath in right hand and anchor in left hand",270|275
RIC V Anonymous 2,,Sestertius,Bronze,Uncertain value,"Head of Genius, laureate, right; on the front of the crown, turret (?)",,Uncertain value,Legend inscribed within laurel-wreath,275
RIC V Florian 46,,Antoninianus,Silver,Rome,"Bust of Florian, radiate, draped, right or bust of Florian, radiate, draped, cuirassed, right",Florianus,Italy,"Florian, standing right, holding spear in right hand and globe in left hand",276
RIC V Tacitus 201,Victory,Antoninianus,Silver,Serdica,"Bust of Tacitus, radiate, draped, cuirassed, right",Tacitus,Thrace,"Victory, winged, draped, standing right, presenting wreath to Tacitus, standing left",275|276
RIC V Tacitus 146,Pax,Antoninianus,Silver,Ticinum,"Bust of Tacitus, radiate, draped, right",Tacitus,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",275|276
RIC V Amandus 3,Venus,Antoninianus,Silver,Uncertain value,"Bust of Amandus, radiate, draped, cuirassed, right",Amandus,Uncertain value,"Venus, standing left, holding apple in right hand and spear in left hand",285|286
RIC V Amandus 2,,Antoninianus,Silver,Uncertain value,"Bust of Amandus, radiate, draped, cuirassed, right",Amandus,Uncertain value,"Female figure, draped, standing left, holding olive-branch in right hand and sceptre in left hand",285|286
RIC V Amandus 1,,Antoninianus,Silver,Uncertain value,"Head of Amandus, radiate, right",Amandus,Uncertain value,"Female figure, helmeted, draped, standing left, holding spear in right hand and resting left hand on shield",285|286
RIC V Sabinus Julianus 5,Victory,Antoninianus,Silver,Siscia,"Bust of Julianus, radiate, draped, cuirassed, right",Julian of Pannonia,Pannonia,"Victory, winged, draped, standing or walking left, holding wreath in right hand and palm in left hand",283|286
RIC V Sabinus Julianus 4,Pannonia,Antoninianus,Silver,Siscia,"Bust of Julianus, radiate, draped, cuirassed, right, or bust of Julianus, radiate, cuirassed, right",Julian of Pannonia,Pannonia,"The two Pannoniae, draped, standing front, one facing right, one left, extending right hands, figure on left holding ensign",283|286
RIC V Sabinus Julianus 3,Jupiter,Antoninianus,Silver,Siscia,"Bust of Julianus, radiate, draped, cuirassed, right, or bust of Julianus, radiate, cuirassed, right",Julian of Pannonia,Pannonia,"Jupiter, standing right, holding thunderbolt in right hand and sceptre in left hand",283|286
RIC V Sabinus Julianus 2,Felicitas,Antoninianus,Silver,Siscia,"Bust of Julianus, radiate, draped, cuirassed, right, or bust of Julianus, radiate, cuirassed, right",Julian of Pannonia,Pannonia,"Felicitas, draped, standing left, holding caduceus in right hand and sceptre in left hand",283|286
RIC V Sabinus Julianus 1,Libertas,Aureus,Gold,Siscia,"Bust of Julianus, laureate, draped, right, or bust of Julianus, laureate, draped, cuirassed, right, or bust of Julianus, laureate, cuirassed, right",Julian of Pannonia,Pannonia,"Libertas, draped, standing left, holding pileus in right hand and cornucopiae in left hand",283|286
RIC V Diocletian 682,Sol,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Galerius,Gallia,"Sol, walking left, raising right hand and holding globe in left hand; sometimes at foot, one or two captives",295
RIC V Diocletian 681,Laetitia,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, right",Galerius,Gallia,"Laetitia, draped, standing left, holding wreath in right hand and rudder or anchor in left hand",295
RIC V Diocletian 680,Laetitia,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, right, or bust of Galerius, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Galerius,Gallia,"Laetitia, draped, standing left, holding wreath in right hand and rudder or anchor in left hand",295
RIC V Diocletian 679,Jupiter,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, right, or bust of Galerius, radiate, cuirassed, right",Galerius,Gallia,"Jupiter, seated left, holding Victory on globe in right hand and sceptre in left hand",294
RIC V Diocletian 678,Concordia,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, right, or bust of Galerius, radiate, draped, cuirassed, right",Galerius,Gallia,"Two Concordiae, draped, standing facing each other, clasping right hands and holding cornucopiae in left hands",293|294
RIC V Diocletian 677,Minerva,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, cuirassed, right, or bust of Galerius, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Galerius,Gallia,"Minerva, helmeted, draped, standing left, holding spear in right hand and leaning on shield with left hand",295
RIC V Diocletian 676,,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, cuirassed, right",Galerius,Gallia,"Elephant, walking left, rider holding a goad",295
RIC V Diocletian 675,Abundantia,Antoninianus,Silver,Lugdunum,"Bust of Galerius, radiate, draped, cuirassed, right",Galerius,Gallia,"Abundantia, draped, standing right, emptying cornucopiae",295
RIC V Diocletian 674,Jupiter|Hercules,Antoninianus,Silver,Antioch,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Syria,"Jupiter, standing right, holding globe in right hand and sceptre in left hand, facing Hercules standing left, holding Victory, club and lion's skin",284|294
RIC V Diocletian 673,Jupiter|Hercules,Antoninianus,Silver,Antioch,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Syria,"Jupiter, standing right, holding globe in right hand and sceptre in left hand, facing Hercules standing left, holding Victory, club and lion's skin",284|294
RIC V Diocletian 672,,Antoninianus,Silver,Cyzicus,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right, or bust of Constantius Chlorus, radiate, cuirassed, right",Constantius Chlorus,Mysia,"Constantius Chlorus, draped, cuirassed, standing right, holding sceptre or parazonium in right hand and receiving Victory on globe from Jupiter, standing left, holding sceptre",284|294
RIC V Diocletian 671,,Antoninianus,Silver,Siscia,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus|Galerius,Pannonia,"Constantius Chlorus and Galerius, draped, cuirassed, standing facing each other, holding Victory on globe; between, kneeling captive",293
RIC V Diocletian 670,Hercules,Antoninianus,Silver,Ticinum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Hercules, standing right under apple-tree in the garden of Hesperides, holding club in right hand and apple in left hand; around apple tree, serpent entwined",294
RIC V Diocletian 669,Hercules,Antoninianus,Silver,Ticinum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Hercules, standing right, strangling lion; behind, club",293
RIC V Diocletian 668a,,Quinarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing left, holding two ensigns",284|294
RIC V Diocletian 668,,Quinarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing left, holding two ensigns",284|294
RIC V Diocletian 667,,Quinarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 666,,Quinarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, right, or bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 665,,Quinarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, right, or bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 664,,Denarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing left, holding two ensigns",284|294
RIC V Diocletian 663,,Denarius,Silver,Rome,"Bust of Constantius Chlorus, laureate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 662,,Antoninianus,Silver,Rome,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing left, holding ensign in right hand and sceptre in left hand",284|294
RIC V Diocletian 661,,Antoninianus,Silver,Rome,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing left, holding ensign in right hand and sceptre in left hand",284|294
RIC V Diocletian 660,,Antoninianus,Silver,Rome,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 659,,Antoninianus,Silver,Rome,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 658,,Antoninianus,Silver,Rome,"Bust of Constantius Chlorus, radiate, draped, right",Constantius Chlorus,Italy,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",284|294
RIC V Diocletian 657,,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Constantius Chlorus, draped, standing right, holding parazonium in right hand and inverted spear in left hand; placing foot on captive",295
RIC V Diocletian 656,Genius,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Genius, turreted, seated left, holding patera in right hand and cornucopiae in left hand",295
RIC V Diocletian 655,Felicitas,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Felicitas, draped, standing left, holding caduceus in right hand and cornucopiae in left hand",295
RIC V Diocletian 654,,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Constantius Chlorus, draped, cuirassed, standing right, holding spear in right hand and raising kneeling turreted woman, holding cornucopiae",295
RIC V Diocletian 653,Fides,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Fides, draped, standing left; on either side, ensign",295
RIC V Diocletian 652,Fides,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Fides, draped, standing left; on either side, ensign",295
RIC V Diocletian 651,Sol,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Sol, standing left, raising right hand and holding globe in left hand; at foot, captive",295
RIC V Diocletian 650,Sol,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Sol, standing left, raising right hand and holding globe in left hand; at foot, captive",295
RIC V Diocletian 649,Liberalitas,Antoninianus,Silver,Trier,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Liberalitas, draped, standing left, holding tessera in right hand and caduceus in left hand; at foot, standing child",295
RIC V Diocletian 648,,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Constantius Chlorus,Gallia,Trophy flanked by two captives,295
RIC V Diocletian 647,,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",295
RIC V Diocletian 646,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Hercules, standing right, holding club in right hand and bow and lion's skin in left hand",294
RIC V Diocletian 645,,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right",Constantius Chlorus,Gallia,"Constantius Chlorus, draped, cuirassed, standing left, holding Victory on globe in right hand and sceptre in left hand",295
RIC V Diocletian 644,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right",Constantius Chlorus,Gallia,"Securitas, draped, standing left, raising right hand to head and leaning on column with left elbow, crossing legs",295
RIC V Diocletian 643,Salus,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right",Constantius Chlorus,Gallia,"Salus, draped, standing right, feeding snake held in arms",295
RIC V Diocletian 642,Salus,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Salus, draped, standing right, feeding snake held in arms",294
RIC V Diocletian 641,Felicitas,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Felicitas, draped, standing left, head right, leaning on column, raising right hand to head",294
RIC V Diocletian 640,Felicitas,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Felicitas, draped, standing left, head right, leaning on column, raising right hand to head",294
RIC V Diocletian 639,Roma,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, right, or bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Roma, helmeted, draped, seated left on shield, holding Victory on globe in right hand and spear in left hand",295
RIC V Diocletian 638,Roma,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Roma, helmeted, draped, seated left on shield, holding Victory on globe in right hand and spear in left hand",293
RIC V Diocletian 637,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe",293
RIC V Diocletian 636,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Providentia, draped, seated left, holding baton in right hand and sceptre in left hand; at foot, globe",293|294
RIC V Diocletian 635,Providentia,Antoninianus,Silver,Lugdunum,"Bust of Constantius Chlorus, radiate, draped, cuirassed, right",Constantius Chlorus,Gallia,"Providentia, draped, standing left, holding baton in right hand and sceptre in left hand; at foot, globe",293|294
