CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Diocletian 449,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",295
RIC V Diocletian 448,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",295
RIC V Diocletian 447,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Maximian,Gallia,"soldier, draped, cuirassed, standing left, holding olive-branch in right hand and spear in left hand; sometimes beside him, shield",291|294
RIC V Diocletian 446,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"soldier, draped, cuirassed, standing left, holding olive-branch in right hand and spear in left hand; beside him, shield",291
RIC V Diocletian 445,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, helmeted, cuirassed, right",Maximian,Gallia,"Hercules, standing right, strangling lion; behind, club",289
RIC V Diocletian 444,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Hercules, standing right, strangling lion; behind, club",289
RIC V Diocletian 443,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",289
RIC V Diocletian 442,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",286
RIC V Diocletian 441,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",292|293
RIC V Diocletian 440,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",292|293
